"","charact","come","feel","good","just","like","mani","scene","see","show","stori","take","thing","time","well","will","world","year","first","look","say"
"review-anime-1-frieren.txt",5,4,4,1,9,1,1,1,2,1,3,1,2,4,4,2,1,1,0,0,0
"review-anime-2-fmab.txt",12,0,1,2,3,2,1,2,0,3,8,0,3,2,4,1,1,0,4,1,1
"review-anime-3-hunter.txt",14,4,3,7,4,7,1,4,2,11,17,3,5,4,5,3,2,1,1,3,3
"review-anime-4-bleach.txt",9,3,0,0,5,3,0,1,2,5,6,3,0,2,0,2,3,5,2,1,3
"review-anime-5-jjk.txt",1,0,1,1,1,7,1,1,4,1,1,2,0,2,5,0,0,1,0,5,2
"review-book-1-harrypotter.txt",0,0,0,1,1,0,0,0,1,0,1,1,0,4,2,0,1,2,2,0,0
"review-book-2-lotr.txt",3,4,3,1,5,4,2,1,4,0,3,1,4,0,0,0,3,1,0,2,5
"review-book-3-got.txt",20,3,3,3,2,16,2,0,2,0,4,1,3,5,1,1,4,4,9,2,2
"review-book-4-tnotw.txt",5,3,2,3,3,3,3,1,1,2,16,4,5,5,2,4,1,1,3,1,2
"review-book-5-tcon.txt",0,1,0,0,3,1,1,0,0,0,2,0,1,4,0,0,0,2,2,0,1
"review-tvshow-1-got.txt",1,1,1,0,1,1,2,1,0,7,1,0,0,2,3,1,1,2,0,2,0
"review-tvshow-2-strangerthings.txt",1,0,1,2,0,0,0,1,2,5,5,1,3,5,2,1,0,0,1,2,2
"review-tvshow-3-lost.txt",4,1,0,0,3,2,2,0,1,5,1,0,1,0,1,3,0,0,1,0,0
"review-tvshow-4-mandalorian.txt",2,1,4,2,0,10,1,1,2,10,11,3,6,4,1,4,4,2,1,2,3
"review-tvshow-5-thewitcher.txt",8,1,1,1,1,5,0,1,0,10,3,1,1,1,4,2,2,0,2,5,1
